id,web_name,first_name,second_name,squad_number,element_type,team,status,news,news_added,cost,cost_change_start,cost_change_start_fall,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
1,Cech,Petr,Cech,1,1,1,a,,2018-09-29T17:31:14Z,4.7,-3,3,0,1.1,24,3.4,585,0,0,1,9,0,0,0,0,0,27,3,130,205,0,0,20.4
2,Leno,Bernd,Leno,19,1,1,a,,,4.9,-1,1,1,4,106,3.3,2835,0,0,6,42,0,0,0,0,0,105,5,568,807.2,0,0,80.5
3,Koscielny,Laurent,Koscielny,6,2,1,a,,2019-05-03T08:31:19Z,5.4,-1,1,1,0.9,62,3.6,1329,3,0,3,23,0,0,0,1,0,0,8,319,456.4,29.5,105,59.1
4,Bellerin,Hector,Bellerin,2,2,1,i,Knee injury - Unknown return date,2019-01-19T20:01:19Z,5.3,-2,2,0,4.5,60,3.2,1532,0,5,4,21,1,0,0,3,0,0,5,304,261.6,197.8,280,73.7
5,Monreal,Nacho,Monreal,18,2,1,a,,2019-04-28T10:31:25Z,5.4,-1,1,1,1.3,77,3.5,1860,1,4,5,24,0,0,0,5,0,0,7,392,413.2,196.6,224,83.4
6,Holding,Rob,Holding,16,2,1,i,Anterior cruciate ligament  - Expected back 05 Jun,2018-12-05T23:01:16Z,4.3,-2,2,0,0.4,24,2.4,806,0,0,1,10,0,0,0,1,0,0,5,148,187.8,28.7,14,23.2
7,Mustafi,Shkodran,Mustafi,20,2,1,a,,2019-02-03T20:31:19Z,5.4,-1,1,0,1.3,80,2.6,2611,2,0,6,40,0,0,0,9,0,0,5,475,718.6,106,252,107.8
8,Kolasinac,Sead,Kolasinac,31,2,1,a,,2019-05-10T00:01:20Z,4.9,-1,1,1,5.4,81,3.4,1886,0,7,5,29,1,0,0,5,0,0,10,382,323.2,445.9,242,101
10,Mavropanos,Konstantinos,Mavropanos,27,2,1,a,,2019-03-29T15:31:20Z,4.7,-3,3,0,0.1,3,0.8,147,0,0,0,1,0,0,0,1,0,0,0,28,27,14.1,10,5.2
11,Lichtsteiner,Stephan,Lichtsteiner,12,2,1,a,,2019-02-24T17:31:21Z,4.5,-5,5,0,0.8,14,1,935,0,0,0,18,0,0,0,3,0,0,0,89,113,61.1,23,20
12,Sokratis,Sokratis,Papastathopoulos,5,2,1,a,,2019-04-07T15:31:20Z,5.1,-4,4,1,1.2,64,2.6,2198,1,2,5,33,0,0,0,12,0,0,4,402,513.8,67.9,120,70.4
13,Ozil,Mesut,Ozil,10,3,1,a,,2019-04-28T10:31:25Z,7.9,-6,6,2,2.6,89,3.7,1732,5,3,5,24,0,0,0,2,0,0,9,363,429.6,714.2,254,140
14,Ramsey,Aaron,Ramsey,8,3,1,a,,2019-04-18T21:01:19Z,7.1,-4,4,0,0.9,91,3.3,1319,4,6,9,13,0,0,0,0,0,0,4,298,418.4,387.2,502,131
15,Iwobi,Alex,Iwobi,17,3,1,a,,2019-02-24T17:31:21Z,5.4,-1,1,0,1.5,99,2.8,1961,3,8,4,32,0,0,0,0,0,0,3,382,469,596.7,646,171.1
16,Elneny,Mohamed,Elneny,4,3,1,a,,2018-10-31T10:31:13Z,4.2,-3,3,0,2.2,10,1.3,377,0,0,0,5,0,0,0,0,0,0,0,59,86.6,76.7,63,22.7
17,Xhaka,Granit,Xhaka,34,3,1,a,,2019-04-19T14:01:20Z,5.2,-3,3,1,2.3,90,3.1,2498,4,3,7,37,0,0,0,10,0,0,8,452,634.6,674,215,152.6
18,Mkhitaryan,Henrikh,Mkhitaryan,7,3,1,a,,2019-03-10T21:01:20Z,6.6,-4,4,4,4.6,98,3.9,1637,6,4,3,26,0,0,0,1,0,0,12,354,446.4,454.9,600,150.2
19,Nelson,Reiss,Nelson,48,3,1,u,Season-long loan to Hoffenheim,2018-09-02T07:29:58Z,4.4,-1,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Maitland-Niles,Ainsley,Maitland-Niles,15,3,1,a,,2019-04-28T13:01:21Z,4.4,-1,1,0,0.4,34,2.1,983,1,1,2,20,0,0,0,1,1,0,3,152,224.2,98.9,126,44.8
21,Welbeck,Danny,Welbeck,23,4,1,a,,2018-11-08T23:01:14Z,6.4,-1,1,0,0.4,19,2.4,146,1,1,0,3,0,0,0,0,0,0,3,63,73.6,56.8,66,19.5
22,Lacazette,Alexandre,Lacazette,9,4,1,a,,2018-11-25T13:01:16Z,9.4,-1,1,1,11.4,166,4.7,2497,13,12,6,31,0,0,0,2,0,0,20,560,808,482.4,1319,260.6
23,Aubameyang,Pierre-Emerick,Aubameyang,14,4,1,a,,2019-04-24T19:01:21Z,10.8,-2,2,5,18.8,205,5.7,2722,22,7,7,42,0,0,1,0,0,0,32,756,984.4,484.6,1429,289.6
450,Torreira,Lucas,Torreira,11,3,1,a,,2019-04-15T23:31:23Z,4.7,-3,3,1,2.6,78,2.3,2377,2,4,5,38,0,0,0,7,1,0,6,409,440.8,301,203,94.5
451,Guendouzi,Matteo,Guendouzi,29,3,1,a,,2018-11-01T01:01:15Z,4.4,-1,1,0,1.6,47,1.4,2140,0,0,3,32,0,0,0,9,0,0,0,321,323.2,312.4,130,76.6
